"UF";"Município";"Cargo";"Turno";"Situação totalização";"Votos nominais";"Votos em trânsito";"Votos válidos";"% votos válidos"
"AC";"ACRELÂNDIA";"Presidente";"2";"Não eleito";"4076";"0";"6286";"64,84"
"AC";"ASSIS BRASIL";"Presidente";"2";"Não eleito";"2116";"0";"4082";"51,84"
"AC";"BRASILÉIA";"Presidente";"2";"Não eleito";"7553";"0";"12435";"60,74"
"AC";"BUJARI";"Presidente";"2";"Não eleito";"3558";"0";"5391";"66"
"AC";"CAPIXABA";"Presidente";"2";"Não eleito";"3496";"0";"4958";"70,51"
"AC";"CRUZEIRO DO SUL";"Presidente";"2";"Não eleito";"21388";"0";"34894";"61,29"
"AC";"EPITACIOLÂNDIA";"Presidente";"2";"Não eleito";"4984";"0";"7513";"66,34"
"AC";"FEIJÓ";"Presidente";"2";"Não eleito";"4934";"0";"12267";"40,22"
"AC";"JORDÃO";"Presidente";"2";"Não eleito";"1232";"0";"2784";"44,25"
"AC";"MÂNCIO LIMA";"Presidente";"2";"Não eleito";"3413";"0";"7313";"46,67"
"AC";"MANOEL URBANO";"Presidente";"2";"Não eleito";"1981";"0";"3745";"52,9"
"AC";"MARECHAL THAUMATURGO";"Presidente";"2";"Não eleito";"2764";"0";"5761";"47,98"
"AC";"PLÁCIDO DE CASTRO";"Presidente";"2";"Não eleito";"5965";"0";"8833";"67,53"
"AC";"PORTO ACRE";"Presidente";"2";"Não eleito";"5279";"0";"8431";"62,61"
"AC";"PORTO WALTER";"Presidente";"2";"Não eleito";"1775";"0";"3552";"49,97"
"AC";"RIO BRANCO";"Presidente";"2";"Não eleito";"135243";"147";"195164";"69,37"
"AC";"RODRIGUES ALVES";"Presidente";"2";"Não eleito";"3562";"0";"6344";"56,15"
"AC";"SANTA ROSA DO PURUS";"Presidente";"2";"Não eleito";"693";"0";"1545";"44,85"
"AC";"SENA MADUREIRA";"Presidente";"2";"Não eleito";"10951";"0";"16331";"67,06"
"AC";"SENADOR GUIOMARD";"Presidente";"2";"Não eleito";"8493";"0";"12329";"68,89"
"AC";"TARAUACÁ";"Presidente";"2";"Não eleito";"6054";"0";"14420";"41,98"
"AC";"XAPURI";"Presidente";"2";"Não eleito";"4167";"0";"8281";"50,32"
"AL";"ÁGUA BRANCA";"Presidente";"2";"Não eleito";"1431";"0";"10148";"14,1"
"AL";"ANADIA";"Presidente";"2";"Não eleito";"2559";"0";"8011";"31,94"
"AL";"ARAPIRACA";"Presidente";"2";"Não eleito";"41362";"0";"104997";"39,39"
"AL";"ATALAIA";"Presidente";"2";"Não eleito";"7598";"0";"20493";"37,08"
"AL";"BARRA DE SANTO ANTÔNIO";"Presidente";"2";"Não eleito";"2465";"0";"7297";"33,78"
"AL";"BARRA DE SÃO MIGUEL";"Presidente";"2";"Não eleito";"2133";"0";"4467";"47,75"
"AL";"BATALHA";"Presidente";"2";"Não eleito";"2029";"0";"8418";"24,1"
"AL";"BELÉM";"Presidente";"2";"Não eleito";"1024";"0";"3198";"32,02"
"AL";"BELO MONTE";"Presidente";"2";"Não eleito";"563";"0";"3252";"17,31"
"AL";"BOCA DA MATA";"Presidente";"2";"Não eleito";"5008";"0";"13314";"37,61"
"AL";"BRANQUINHA";"Presidente";"2";"Não eleito";"1764";"0";"4969";"35,5"
"AL";"CACIMBINHAS";"Presidente";"2";"Não eleito";"1279";"0";"5256";"24,33"
"AL";"CAJUEIRO";"Presidente";"2";"Não eleito";"4426";"0";"9435";"46,91"
"AL";"CAMPESTRE";"Presidente";"2";"Não eleito";"1114";"0";"3290";"33,86"
"AL";"CAMPO ALEGRE";"Presidente";"2";"Não eleito";"5284";"0";"15025";"35,17"
