"UF";"Município";"Cargo";"Turno";"Situação totalização";"Votos nominais";"Votos em trânsito";"Votos válidos";"% votos válidos"
"AC";"ACRELÂNDIA";"Presidente";"2";"Eleito";"2210";"0";"6286";"35,16"
"AC";"ASSIS BRASIL";"Presidente";"2";"Eleito";"1966";"0";"4082";"48,16"
"AC";"BRASILÉIA";"Presidente";"2";"Eleito";"4882";"0";"12435";"39,26"
"AC";"BUJARI";"Presidente";"2";"Eleito";"1833";"0";"5391";"34"
"AC";"CAPIXABA";"Presidente";"2";"Eleito";"1462";"0";"4958";"29,49"
"AC";"CRUZEIRO DO SUL";"Presidente";"2";"Eleito";"13506";"0";"34894";"38,71"
"AC";"EPITACIOLÂNDIA";"Presidente";"2";"Eleito";"2529";"0";"7513";"33,66"
"AC";"FEIJÓ";"Presidente";"2";"Eleito";"7333";"0";"12267";"59,78"
"AC";"JORDÃO";"Presidente";"2";"Eleito";"1552";"0";"2784";"55,75"
"AC";"MÂNCIO LIMA";"Presidente";"2";"Eleito";"3900";"0";"7313";"53,33"
"AC";"MANOEL URBANO";"Presidente";"2";"Eleito";"1764";"0";"3745";"47,1"
"AC";"MARECHAL THAUMATURGO";"Presidente";"2";"Eleito";"2997";"0";"5761";"52,02"
"AC";"PLÁCIDO DE CASTRO";"Presidente";"2";"Eleito";"2868";"0";"8833";"32,47"
"AC";"PORTO ACRE";"Presidente";"2";"Eleito";"3152";"0";"8431";"37,39"
"AC";"PORTO WALTER";"Presidente";"2";"Eleito";"1777";"0";"3552";"50,03"
"AC";"RIO BRANCO";"Presidente";"2";"Eleito";"59921";"60";"195164";"30,73"
"AC";"RODRIGUES ALVES";"Presidente";"2";"Eleito";"2782";"0";"6344";"43,85"
"AC";"SANTA ROSA DO PURUS";"Presidente";"2";"Eleito";"852";"0";"1545";"55,15"
"AC";"SENA MADUREIRA";"Presidente";"2";"Eleito";"5380";"0";"16331";"32,94"
"AC";"SENADOR GUIOMARD";"Presidente";"2";"Eleito";"3836";"0";"12329";"31,11"
"AC";"TARAUACÁ";"Presidente";"2";"Eleito";"8366";"0";"14420";"58,02"
"AC";"XAPURI";"Presidente";"2";"Eleito";"4114";"0";"8281";"49,68"
"AL";"ÁGUA BRANCA";"Presidente";"2";"Eleito";"8717";"0";"10148";"85,9"
"AL";"ANADIA";"Presidente";"2";"Eleito";"5452";"0";"8011";"68,06"
"AL";"ARAPIRACA";"Presidente";"2";"Eleito";"63635";"0";"104997";"60,61"
"AL";"ATALAIA";"Presidente";"2";"Eleito";"12895";"0";"20493";"62,92"
"AL";"BARRA DE SANTO ANTÔNIO";"Presidente";"2";"Eleito";"4832";"0";"7297";"66,22"
"AL";"BARRA DE SÃO MIGUEL";"Presidente";"2";"Eleito";"2334";"0";"4467";"52,25"
"AL";"BATALHA";"Presidente";"2";"Eleito";"6389";"0";"8418";"75,9"
"AL";"BELÉM";"Presidente";"2";"Eleito";"2174";"0";"3198";"67,98"
"AL";"BELO MONTE";"Presidente";"2";"Eleito";"2689";"0";"3252";"82,69"
"AL";"BOCA DA MATA";"Presidente";"2";"Eleito";"8306";"0";"13314";"62,39"
"AL";"BRANQUINHA";"Presidente";"2";"Eleito";"3205";"0";"4969";"64,5"
"AL";"CACIMBINHAS";"Presidente";"2";"Eleito";"3977";"0";"5256";"75,67"
"AL";"CAJUEIRO";"Presidente";"2";"Eleito";"5009";"0";"9435";"53,09"
"AL";"CAMPESTRE";"Presidente";"2";"Eleito";"2176";"0";"3290";"66,14"
"AL";"CAMPO ALEGRE";"Presidente";"2";"Eleito";"9741";"0";"15025";"64,83"
"AL";"CAMPO GRANDE";"Presidente";"2";"Eleito";"4802";"0";"5646";"85,05"
"AL";"CANAPI";"Presidente";"2";"Eleito";"7265";"0";"8199";"88,61"
"AL";"CAPELA";"Presidente";"2";"Eleito";"5326";"0";"8658";"61,52"
"AL";"CARNEIROS";"Presidente";"2";"Eleito";"3498";"0";"4182";"83,64"
"AL";"CHÃ PRETA";"Presidente";"2";"Eleito";"2810";"0";"3762";"74,69"
"AL";"COITÉ DO NÓIA";"Presidente";"2";"Eleito";"4986";"0";"5950";"83,8"
"AL";"COLÔNIA LEOPOLDINA";"Presidente";"2";"Eleito";"4357";"0";"8959";"48,63"
"AL";"COQUEIRO SECO";"Presidente";"2";"Eleito";"2181";"0";"3335";"65,4"
"AL";"CORURIPE";"Presidente";"2";"Eleito";"12319";"0";"27093";"45,47"
"AL";"CRAÍBAS";"Presidente";"2";"Eleito";"10397";"0";"12421";"83,71"
"AL";"DELMIRO GOUVEIA";"Presidente";"2";"Eleito";"21827";"0";"25698";"84,94"
"AL";"DOIS RIACHOS";"Presidente";"2";"Eleito";"4306";"0";"5548";"77,61"
"AL";"ESTRELA DE ALAGOAS";"Presidente";"2";"Eleito";"6268";"0";"7503";"83,54"
"AL";"FEIRA GRANDE";"Presidente";"2";"Eleito";"9865";"0";"11871";"83,1"
"AL";"FELIZ DESERTO";"Presidente";"2";"Eleito";"1327";"0";"2171";"61,12"
"AL";"FLEXEIRAS";"Presidente";"2";"Eleito";"1934";"0";"5513";"35,08"
"AL";"GIRAU DO PONCIANO";"Presidente";"2";"Eleito";"15217";"0";"17333";"87,79"
